	Unnamed: 0	type_of_house	living_space	number_of_rooms	rent	construction_year	street	zipcode	region	tag	latitude	longitude
60	60	Penthouse	170		5375	2019		60322	Frankfurt am Main / Nordend-West, Frankfurt am Main	/expose/112579357	18.78378	18.78378
61	61		320	5.0	5600			60599	Frankfurt am Main, Oberrad	/expose/109600533	50.100008	50.100008
62	62	Maisonette	600	15.0	13400	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/98567656	50.1228066	50.1228066
63	63	Etagenwohnung	405		11700	2019		60487	Frankfurt am Main, Bockenheim	/expose/113651405	50.1223606	50.1223606
64	64	Penthouse	166	3.0	5300	2019		61440	Oberursel / Taunus, Oberursel (Taunus)	/expose/113001587	50.1989105	50.1989105
65	65	Etagenwohnung	320	9.0	7600	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/89886750	50.1228066	50.1228066
66	66		261		7370	2017		60325	Frankfurt am Main, Westend-Süd	/expose/114458111	50.1152448	50.1152448
67	67	Maisonette	280		6500			60599	Frankfurt am Main, Sachsenhausen-Süd	/expose/113324779	50.070781200000006	50.070781200000006
68	68	Penthouse	312	5.0	9350	2002		60323	Frankfurt am Main, Westend-Süd	/expose/114458274	50.1152448	50.1152448
69	69	Maisonette	241		6440	1914	Ditmarstraße 9	60487	Frankfurt, Bockenheim	/expose/104293180	50.1269666	50.1269666
70	70	Etagenwohnung	225	4.0	6821	unbekannt	Hochstraße 42-46	60322	Frankfurt am Main, Innenstadt	/expose/113405132	50.1168752	50.1168752
71	71	Penthouse	226	5.0	6615	2015		60311	Frankfurt am Main, Innenstadt	/expose/114448268	50.112993200000005	50.112993200000005
72	72	Maisonette	277	8.0	5450	1913		65812	Bad Soden, Bad Soden am Taunus	/expose/113165975	50.14291420000001	50.14291420000001
73	73	Maisonette	170	5.0	5350	2019		60322	Frankfurt, Nordend-West	/expose/113144601	50.1249136	50.1249136
74	74	Erdgeschosswohnung	180	4.0	5200	2019		60322	Frankfurt am Main, Nordend-West	/expose/114321292	50.1249136	50.1249136
75	75	Maisonette	317	6.0	6750	1906		61476	Kronberg, Kronberg im Taunus	/expose/114217070	50.190833700000006	50.190833700000006
76	76		257		6770	2017		60325	Frankfurt am Main, Westend-Süd	/expose/114458013	50.1152448	50.1152448
77	77	Maisonette	168	4.0	5375	2018		60322	Frankfurt am Main, Nordend-West	/expose/114458050	50.1249136	50.1249136
78	78	Etagenwohnung	160	4.0	6500			60323	Frankfurt, Westend-Süd	/expose/114002361	50.1152448	50.1152448
79	79	Penthouse	601	6.0	20588	unbekannt	Hochstraße 42-46	60322	Frankfurt am Main, Innenstadt	/expose/114421851	50.1168752	50.1168752
80	80		23	1.0	405	1920	Westanlage 20	35390	Gießen, Gießen (Kreis)	/expose/114546670	50.5849	50.5849
81	81	Etagenwohnung	24	1.0	395	1870		65428	Rüsselsheim, Rüsselsheim am Main	/expose/114524952	49.967529	49.967529
82	82	Dachgeschoss	34	2.0	451	1947	Wilhelm-Sturmfels-Straße 5	65428	Rüsselsheim, Rüsselsheim am Main	/expose/114548150	49.9825824	49.9825824
83	83		17	1.0	360	1968		60388	Frankfurt, Bergen-Enkheim	/expose/114519643	50.1580146	50.1580146
84	84	Souterrain	20	1.0	380	1971		64546	Mörfelden-W, Mörfelden-Walldorf	/expose/81647910	50.001318100000006	50.001318100000006
85	85	Erdgeschosswohnung	28	1.0	435	1985		63128	Dietzenbach, Offenbach (Kreis)	/expose/113979065	50.0206284	50.0206284
86	86		29	1.0	511	1962	Jaspertstr. 11	60435	Frankfurt am Main, Preungesheim	/expose/114332629	50.152992100000006	50.152992100000006
87	87	Etagenwohnung	29	1.0	470		Ludwigstr. 28	63065	Offenbach, Stadtmitte	/expose/114514901		
88	88		29	1.0	325	1948	Händelstraße 4	35392	Gießen, Gießen (Kreis)	/expose/114219079	50.6773153	50.6773153
89	89	Dachgeschoss	20	1.0	380	1976		63225	Langen, Langen (Hessen)	/expose/114400635	49.9927036	49.9927036
90	90	Etagenwohnung	26	1.0	370			63450	Hanau, Main-Kinzig-Kreis	/expose/112669477	50.1335542	50.1335542
91	91		18	1.0	330	1920	Westanlage 20	35390	Gießen, Gießen (Kreis)	/expose/114218956	50.5849	50.5849
92	92	Etagenwohnung	29	1.0	470		Ludwigstr. 28	63065	Offenbach, Stadtmitte	/expose/114514873		
93	93		38		415	1971	Fritz-Erler-Strasse 8	63263	Neu-Isenburg, Offenbach (Kreis)	/expose/114543070	50.100609999999996	50.100609999999996
94	94	Souterrain	33	1.0	440	1973	Schalksbornstr. 0	60388	Frankfurt am Main, Bergen-Enkheim	/expose/73101557	50.157175200000005	50.157175200000005
95	95	Etagenwohnung	22	1.0	400	unbekannt		64293	Darmstadt, Darmstadt-Nord	/expose/91727711	49.8831383	49.8831383
96	96	Sonstige	20	1.0	270		Usagasse 33	61169	Friedberg, Friedberg (Hessen)	/expose/114486744	50.339819299999995	50.339819299999995
97	97		20	1.0	300	1900		63067	Offenbach, Kaiserlei	/expose/114155386	50.1062969	50.1062969
98	98	Etagenwohnung	21	1.0	425	1920	Hanauerstraße 15	61169	Friedberg, Friedberg (Hessen)	/expose/113480822	50.3303	50.3303
